#time meanCourantNo maxCourantNo Ndt
20 0.400831 0.521887 0.200098
40 0.400772 0.509956 0.204232
60 0.400797 0.515601 0.212513
80 0.400861 0.517913 0.220548
100 0.400929 0.518068 0.227203
120 0.400968 0.519159 0.231913
140 0.400952 0.522414 0.234701
160 0.400954 0.525512 0.239646
180 0.401009 0.52811 0.242758
200 0.401049 0.528936 0.243679
220 0.401046 0.529318 0.242573
240 0.401057 0.528725 0.239742
260 0.401091 0.528633 0.239578
280 0.40111 0.528084 0.23778
300 0.401116 0.528213 0.234851
320 0.401128 0.528646 0.23137
340 0.40113 0.529963 0.228052
360 0.40112 0.531073 0.2254
380 0.401106 0.532529 0.223768
400 0.401092 0.533415 0.22311
420 0.401086 0.534288 0.223868
440 0.401093 0.534411 0.225956
460 0.401109 0.534478 0.227807
480 0.401133 0.533966 0.229165
500 0.40116 0.533698 0.229872
520 0.40119 0.533358 0.230805
540 0.401226 0.533378 0.231406
560 0.401265 0.533274 0.231287
580 0.401318 0.533526 0.230466
600 0.40138 0.533612 0.230047
620 0.401439 0.533942 0.229266
640 0.401477 0.534024 0.228348
660 0.401486 0.53427 0.227744
680 0.401481 0.534295 0.227422
700 0.401478 0.534772 0.227107
720 0.401482 0.535081 0.227258
740 0.401487 0.535672 0.227288
760 0.401483 0.536529 0.227172
780 0.401466 0.537827 0.227533
800 0.401447 0.539005 0.227878
820 0.401448 0.540547 0.228524
840 0.401477 0.541985 0.228674
860 0.401496 0.543562 0.228341
880 0.40148 0.544821 0.228733
900 0.40146 0.546174 0.228753
920 0.401465 0.547205 0.228324
940 0.401491 0.548449 0.227497
960 0.401516 0.549564 0.226355
980 0.401521 0.550802 0.225565
1000 0.401529 0.551832 0.224663
1020 0.401527 0.552954 0.223506
1040 0.401529 0.553834 0.222727
1060 0.401527 0.554734 0.222322
1080 0.401533 0.555328 0.222557
1100 0.40154 0.555869 0.222811
1120 0.401543 0.556074 0.22319
1140 0.401552 0.556231 0.223259
1160 0.401561 0.556126 0.223503
1180 0.401556 0.556085 0.223639
1200 0.401554 0.555943 0.2235
1220 0.40156 0.556017 0.223372
1240 0.401569 0.556124 0.223307
1260 0.401572 0.556511 0.22302
1280 0.401571 0.556928 0.222596
1300 0.401573 0.55754 0.222385
1320 0.401579 0.558062 0.222013
1340 0.401587 0.558638 0.221539
1360 0.401589 0.559022 0.221241
1380 0.401588 0.559408 0.22084
1400 0.401591 0.559629 0.220491
1420 0.401599 0.559926 0.220159
1440 0.401612 0.560163 0.219855
1460 0.401625 0.560559 0.219585
1480 0.401627 0.560944 0.219321
1500 0.401617 0.561474 0.219106
1520 0.4016 0.561944 0.218846
1540 0.401579 0.562479 0.218682
1560 0.401551 0.562886 0.218447
1580 0.401513 0.563313 0.218281
1600 0.401467 0.563611 0.21809
1620 0.401419 0.563955 0.218024
1640 0.401378 0.564221 0.218023
1660 0.401345 0.564575 0.218028
1680 0.401322 0.564876 0.218036
1700 0.401311 0.565257 0.218048
1720 0.40131 0.56556 0.218059
1740 0.401319 0.565904 0.218069
1760 0.401335 0.566145 0.218076
1780 0.401356 0.566417 0.218079
1800 0.40138 0.566604 0.218076
1820 0.401397 0.566847 0.218069
1840 0.401402 0.567029 0.218055
1860 0.401396 0.567274 0.218037
